×°±¸Ãû³Æ	µ¶¶ÜÕ¾Á¢1	¶Üµ¶Õ¾Á¢1	¿ÕÊÖÕ¾Á¢1	¿ÕÊÖÕ¾Á¢2	¿ÕÊÖÕ¾Á¢3	¶ÌÎäÆ÷Õ¾Á¢	³¤ÎäÆ÷Õ¾Á¢	Ë«ÎäÆ÷Õ¾Á¢	µ¶¶ÜÎäÆ÷Õ¾Á¢	¶Üµ¶ÎäÆ÷Õ¾Á¢	ÇÙÕ½¶·Õ¾Á¢	ÇÙ·ÇÕ½¶·Õ¾Á¢	¿ÕÊÖ×ßÂ·	ÆÕÍ¨×ßÂ·	¶ÌÎäÆ÷×ßÂ·	³¤ÎäÆ÷×ßÂ·	Ë«ÎäÆ÷×ßÂ·	µ¶¶ÜÎäÆ÷×ßÂ·	¶Üµ¶ÎäÆ÷×ßÂ·	ÇÙ×ßÂ·	¿ÕÊÖÅÜ²½	ÆÕÍ¨ÅÜ²½	¶ÌÎäÆ÷ÅÜ²½	³¤ÎäÆ÷ÅÜ²½	Ë«ÎäÆ÷ÅÜ²½	µ¶¶ÜÎäÆ÷ÅÜ²½	¶Üµ¶ÎäÆ÷ÅÜ²½	ÇÙÎäÆ÷ÅÜ²½	¿ÕÊÖÊÜÉË	¶ÌÎäÆ÷ÊÜÉË	³¤ÎäÆ÷ÊÜÉË	Ë«ÎäÆ÷ÊÜÉË	µ¶¶ÜÎäÆ÷ÊÜÉË	¶Üµ¶ÎäÆ÷ÊÜÉË	ÇÙÎäÆ÷ÊÜÉË	¿ÕÊÖËÀÍö	¶ÌÎäÆ÷ËÀÍö	³¤ÎäÆ÷ËÀÍö	Ë«ÎäÆ÷ËÀÍö	µ¶¶ÜÎäÆ÷ËÀÍö	¶Üµ¶ÎäÆ÷ËÀÍö	ÇÙÎäÆ÷ËÀÍö	¿ÕÊÖ¹¥»÷	¶ÌÎäÆ÷´Ì	¶ÌÎäÆ÷¿³	³¤ÎäÆ÷´Á	³¤ÎäÆ÷Åü	Ë«ÎäÆ÷»®	Ë«ÎäÆ÷ÔÒ	µ¶¶ÜÎäÆ÷»®	µ¶¶ÜÎäÆ÷¿³	¶Üµ¶ÎäÆ÷»®	¶Üµ¶ÎäÆ÷¿³	ÇÙÎäÆ÷¹¥»÷1	ÇÙÎäÆ÷¹¥»÷2	°µÆ÷Í¶ÖÀ	¿ÕÊÖÄ§·¨	¶ÌÎäÆ÷Ä§·¨	³¤ÎäÆ÷Ä§·¨	Ë«ÎäÆ÷Ä§·¨	µ¶¶ÜÎäÆ÷Ä§·¨	¶Üµ¶ÎäÆ÷Ä§·¨	ÇÙÎäÆ÷Ä§·¨	´ò×ø	ÌøÔ¾	ÆïÂíÕ¾Á¢	ÆïÂí×ß¶¯	ÆïÂíÅÜ²½	ÆïÂí¹¥»÷Åü	ÆïÂí¹¥»÷´Ì	ÆïÂíÄ§·¨	ÆïÂíÊÜÉË	ÆïÂíËÀÍö	ÆïÂíÕ¾Á¢1	ÆïÂíÕ¾Á¢2
Ngùa 56																																																																		..\man\MA_HH_066_RD01.spr	..\man\MA_HH_066_HW01.spr	..\man\MA_HH_066_HR01.spr	..\man\MA_HH_066_HA01.spr	..\man\MA_HH_066_HA02.spr	..\man\MA_HH_066_HM01.spr	..\man\MA_HH_066_HI01.spr	..\man\MA_HH_066_HD01.spr	..\man\MA_HH_066_RD01.spr	..\man\MA_HH_066_RD01.spr
Ngùa 57																																																																		..\man\MA_HH_067_RD01.spr	..\man\MA_HH_067_HW01.spr	..\man\MA_HH_067_HR01.spr	..\man\MA_HH_067_HA01.spr	..\man\MA_HH_067_HA02.spr	..\man\MA_HH_067_HM01.spr	..\man\MA_HH_067_HI01.spr	..\man\MA_HH_067_HD01.spr	..\man\MA_HH_067_RD01.spr	..\man\MA_HH_067_RD01.spr
Ngùa 58																																																																		..\man\MA_HH_068_RD01.spr	..\man\MA_HH_068_HW01.spr	..\man\MA_HH_068_HR01.spr	..\man\MA_HH_068_HA01.spr	..\man\MA_HH_068_HA02.spr	..\man\MA_HH_068_HM01.spr	..\man\MA_HH_068_HI01.spr	..\man\MA_HH_068_HD01.spr	..\man\MA_HH_068_RD01.spr	..\man\MA_HH_068_RD01.spr
Ngùa 59																																																																		..\man\MA_HH_069_RD01.spr	..\man\MA_HH_069_HW01.spr	..\man\MA_HH_069_HR01.spr	..\man\MA_HH_069_HA01.spr	..\man\MA_HH_069_HA02.spr	..\man\MA_HH_069_HM01.spr	..\man\MA_HH_069_HI01.spr	..\man\MA_HH_069_HD01.spr	..\man\MA_HH_069_RD01.spr	..\man\MA_HH_069_RD01.spr
Ngùa 60																																																																		..\man\MA_HH_070_RD01.spr	..\man\MA_HH_070_HW01.spr	..\man\MA_HH_070_HR01.spr	..\man\MA_HH_070_HA01.spr	..\man\MA_HH_070_HA02.spr	..\man\MA_HH_070_HM01.spr	..\man\MA_HH_070_HI01.spr	..\man\MA_HH_070_HD01.spr	..\man\MA_HH_070_RD01.spr	..\man\MA_HH_070_RD01.spr
Ngùa 61																																																																		..\man\MA_HH_071_RD01.spr	..\man\MA_HH_071_HW01.spr	..\man\MA_HH_071_HR01.spr	..\man\MA_HH_071_HA01.spr	..\man\MA_HH_071_HA02.spr	..\man\MA_HH_071_HM01.spr	..\man\MA_HH_071_HI01.spr	..\man\MA_HH_071_HD01.spr	..\man\MA_HH_071_RD01.spr	..\man\MA_HH_071_RD01.spr
Ngùa 62																																																																		..\man\MA_HH_072_RD01.spr	..\man\MA_HH_072_HW01.spr	..\man\MA_HH_072_HR01.spr	..\man\MA_HH_072_HA01.spr	..\man\MA_HH_072_HA02.spr	..\man\MA_HH_072_HM01.spr	..\man\MA_HH_072_HI01.spr	..\man\MA_HH_072_HD01.spr	..\man\MA_HH_072_RD01.spr	..\man\MA_HH_072_RD01.spr
Ngùa 63																																																																		..\man\MA_HH_073_RD01.spr	..\man\MA_HH_073_HW01.spr	..\man\MA_HH_073_HR01.spr	..\man\MA_HH_073_HA01.spr	..\man\MA_HH_073_HA02.spr	..\man\MA_HH_073_HM01.spr	..\man\MA_HH_073_HI01.spr	..\man\MA_HH_073_HD01.spr	..\man\MA_HH_073_RD01.spr	..\man\MA_HH_073_RD01.spr
Ngùa 64																																																																		..\man\MA_HH_074_RD01.spr	..\man\MA_HH_074_HW01.spr	..\man\MA_HH_074_HR01.spr	..\man\MA_HH_074_HA01.spr	..\man\MA_HH_074_HA02.spr	..\man\MA_HH_074_HM01.spr	..\man\MA_HH_074_HI01.spr	..\man\MA_HH_074_HD01.spr	..\man\MA_HH_074_RD01.spr	..\man\MA_HH_074_RD01.spr
Ngùa 65																																																																		..\man\MA_HH_075_RD01.spr	..\man\MA_HH_075_HW01.spr	..\man\MA_HH_075_HR01.spr	..\man\MA_HH_075_HA01.spr	..\man\MA_HH_075_HA02.spr	..\man\MA_HH_075_HM01.spr	..\man\MA_HH_075_HI01.spr	..\man\MA_HH_075_HD01.spr	..\man\MA_HH_075_RD01.spr	..\man\MA_HH_075_RD01.spr
Ngùa 66																																																																		..\man\MA_HH_076_RD01.spr	..\man\MA_HH_076_HW01.spr	..\man\MA_HH_076_HR01.spr	..\man\MA_HH_076_HA01.spr	..\man\MA_HH_076_HA02.spr	..\man\MA_HH_076_HM01.spr	..\man\MA_HH_076_HI01.spr	..\man\MA_HH_076_HD01.spr	..\man\MA_HH_076_RD01.spr	..\man\MA_HH_076_RD01.spr
Ngùa 67																																																																		..\man\MA_HH_077_RD01.spr	..\man\MA_HH_077_HW01.spr	..\man\MA_HH_077_HR01.spr	..\man\MA_HH_077_HA01.spr	..\man\MA_HH_077_HA02.spr	..\man\MA_HH_077_HM01.spr	..\man\MA_HH_077_HI01.spr	..\man\MA_HH_077_HD01.spr	..\man\MA_HH_077_RD01.spr	..\man\MA_HH_077_RD01.spr
Ngùa 68																																																																		..\man\MA_HH_078_RD01.spr	..\man\MA_HH_078_HW01.spr	..\man\MA_HH_078_HR01.spr	..\man\MA_HH_078_HA01.spr	..\man\MA_HH_078_HA02.spr	..\man\MA_HH_078_HM01.spr	..\man\MA_HH_078_HI01.spr	..\man\MA_HH_078_HD01.spr	..\man\MA_HH_078_RD01.spr	..\man\MA_HH_078_RD01.spr
Ngùa 69																																																																		..\man\MA_HH_079_RD01.spr	..\man\MA_HH_079_HW01.spr	..\man\MA_HH_079_HR01.spr	..\man\MA_HH_079_HA01.spr	..\man\MA_HH_079_HA02.spr	..\man\MA_HH_079_HM01.spr	..\man\MA_HH_079_HI01.spr	..\man\MA_HH_079_HD01.spr	..\man\MA_HH_079_RD01.spr	..\man\MA_HH_079_RD01.spr
Ngùa 70																																																																		..\man\MA_HH_080_RD01.spr	..\man\MA_HH_080_HW01.spr	..\man\MA_HH_080_HR01.spr	..\man\MA_HH_080_HA01.spr	..\man\MA_HH_080_HA02.spr	..\man\MA_HH_080_HM01.spr	..\man\MA_HH_080_HI01.spr	..\man\MA_HH_080_HD01.spr	..\man\MA_HH_080_RD01.spr	..\man\MA_HH_080_RD01.spr
